URUNID;MIKTAR;FIRMAID;SEHIR;URUNTIPIID;SIPARISTARIHI;GELDIGITARIHI;TEDARIKSURESI
K700;1;T22;TEKİRDAĞ;1;8 Ekim 2019 Salı;9 Ekim 2019 Çarşamba;1
K700;1;T22;TEKİRDAĞ;1;12 Mart 2020 Perşembe;13 Mart 2020 Cuma;1
K700;1;T22;TEKİRDAĞ;1;21 Ekim 2020 Çarşamba;22 Ekim 2020 Perşembe;1
K700;1;T22;TEKİRDAĞ;1;24 Mart 2021 Çarşamba;25 Mart 2021 Perşembe;1
K700;1;T22;TEKİRDAĞ;1;6 Nisan 2021 Salı;7 Nisan 2021 Çarşamba;1
K700;1;T22;TEKİRDAĞ;1;26 Mayıs 2021 Çarşamba;27 Mayıs 2021 Perşembe;1
K700;1;T22;TEKİRDAĞ;1;1 Aralık 2021 Çarşamba;2 Aralık 2021 Perşembe;1
K700;1;T22;TEKİRDAĞ;1;10 Aralık 2021 Cuma;13 Aralık 2021 Pazartesi;3
K407;1;T-0133;İSTANBUL;1;11 Ocak 2021 Pazartesi;12 Ocak 2021 Salı;1
K669;1;T-0211;KOCAELİ;1;10 Ekim 2019 Perşembe;15 Ekim 2019 Salı;5
K390;1;T-0142;;1;28 Mart 2022 Pazartesi;29 Mart 2022 Salı;1
K390;1;T-0142;;1;20 Nisan 2022 Çarşamba;21 Nisan 2022 Perşembe;1
K28;1;T-036;İSTANBUL;1;13 Temmuz 2019 Cumartesi;16 Temmuz 2019 Salı;3
K28;1;T-036;İSTANBUL;1;13 Ocak 2020 Pazartesi;14 Ocak 2020 Salı;1
K28;1;T-036;İSTANBUL;1;2 Temmuz 2020 Perşembe;6 Temmuz 2020 Pazartesi;4
K28;1;T-036;İSTANBUL;1;19 Ağustos 2020 Çarşamba;21 Ağustos 2020 Cuma;2
K28;1;T-036;İSTANBUL;1;21 Eylül 2020 Pazartesi;22 Eylül 2020 Salı;1
K28;1;T-036;İSTANBUL;1;18 Kasım 2020 Çarşamba;20 Kasım 2020 Cuma;2
K28;1;T-036;İSTANBUL;1;12 Şubat 2021 Cuma;19 Şubat 2021 Cuma;7
K28;1;T-036;İSTANBUL;1;12 Nisan 2021 Pazartesi;13 Nisan 2021 Salı;1
K28;1;T-036;İSTANBUL;1;27 Nisan 2021 Salı;28 Nisan 2021 Çarşamba;1
K28;1;T-036;İSTANBUL;1;27 Mayıs 2021 Perşembe;1 Haziran 2021 Salı;5
K28;1;T-036;İSTANBUL;1;28 Haziran 2021 Pazartesi;30 Haziran 2021 Çarşamba;2
K28;1;T-036;İSTANBUL;1;31 Ağustos 2021 Salı;1 Eylül 2021 Çarşamba;1
